sortOrder,spanish,englishPrimary,englishVariantsJson,pos,frequencyCount
55,así,"used to express wishes of misfortune against someone, or to cast a spell","[""like this"", ""used to express wishes of misfortune against someone, or to cast a spell""]",adv,1253362
56,ahora,now,"[""now"", ""just now, just a moment ago"", ""very soon, in a moment"", ""of nowadays, of today, latter-day"", ""today"", ""however, on the other hand"", ""sometimes...other times"", ""now...now, whether...or""]",adv,1214057
57,vez,place,"[""time, instance"", ""place"", ""turn shared in sequence with others)"", ""place, stead""]",n,1192980
58,cuando,when,"[""when""]",conj,1188601
59,algo,"something, anything","[""something, anything"", ""rather, somewhat, kind of""]",pron,1125191
60,dejar,to leave,"[""to leave"", ""to leave, to keep"", ""to let, allow"", ""to let go, put down"", ""to drop off"", ""to leave, to abandon, to dump"", ""to give up, to lay off, to kick"", ""to set, to put, to make""]",v,1123069
61,hablar,to speak,"[""to talk"", ""to speak"", ""to talk or chat regularly with someone, especially on social media""]",v,1051556
62,pasar,to happen,"[""to pass, to hand, to slip"", ""to happen"", ""to pass, to get past, to go past, to go by, to go over, to get through"", ""to pass time"", ""to enter a room"", ""to go too far, exaggerate"", ""to exceed, surpass, go over"", ""to ripen too much, become rotten, become off""]",v,1030723
64,nada,not at all,"[""nothing, zero, zilch, not...anything"", ""nothingness, nothing"", ""nowhere, the void"", ""not at all"", ""ellipsis of \""de nada""]",pron,966494
65,cómo,how?,"[""how?"", ""sorry? what?"", ""how""]",adv,935449
66,solo,"lonely, lonesome","[""sole"", ""lonely, lonesome"", ""alone, by oneself"", ""automatic"", ""only""]",adv,912140
67,sentir,to feel,"[""to feel"", ""to regret, feel or be sorry"", ""to hear"", ""feeling"", ""opinion""]",v,898570
68,pensar,"to think, ponder","[""to think, ponder"", ""to reflect, think through"", ""to think of, think that"", ""to intend, to plan, to want [+infinitive ]""]",v,885709
69,porque,because,"[""because""]",conj,870759
70,esperar,to be expected,"[""to hope [+direct object or infinitive or que ]"", ""to expect [+direct object or infinitive or que ]"", ""to wait, wait [ +direct object or a que ]"", ""to wait, to hold on"", ""to be expected""]",v,854802
71,usted,you,"[""second person formal"", ""second person informal"", ""you""]",pron,854441
72,día,day,"[""day"", ""day, daytime""]",n,850540
73,año,year,"[""year"", ""age""]",n,841274
74,padre,father,"[""father"", ""cool, acceptable, easy"", ""very big, enormous, huge""]",n,838054
75,venir,to come,"[""to come"", ""to arrive"", ""to happen, occur"", ""to originate, to derive"", ""to result"", ""to fit"", ""to cost"", ""to be due""]",v,820828
76,nuestro,ours,"[""ours"", ""our, ours, to us""]",determiner,815459
77,gracias,thanks,"[""thank you, thanks"", ""thanks""]",n,803297
78,cosa,thing,"[""thing""]",n,790380
79,dos,two,"[""two"", ""dung, excrement""]",num,784866
80,sin,without,"[""without""]",prep,773153
81,sobre,about,"[""over, above, on, upon, atop"", ""about"", ""envelope"", ""small packet"", ""bed""]",prep,767724
83,alguno,any,"[""some, any"", ""any"", ""various"", ""someone"", ""some, some people"", ""one""]",determiner,757480
84,señor,gentleman,"[""mister, sir, lord"", ""gentleman"", ""master"", ""great big"", ""free""]",n,747779
85,mirar,to look at,"[""to look at"", ""to watch"", ""to consider, think over"", ""used for emphasis"", ""to seek, look for"", ""to look"", ""to face, overlook"", ""to look at oneself""]",v,741922
86,hombre,husband,"[""man"", ""husband"", ""top"", ""ombre"", ""man!"", ""hey!"", ""oh, come on!""]",n,734477
87,tiempo,time,"[""time"", ""a while, period of time, long time, length of time, indeterminate amount of time"", ""tense"", ""weather""]",n,733875
88,también,"also, too, as well","[""also, too, as well"", ""so""]",adv,733114
89,mismo,"right, exactly, immediately","[""same"", ""similar"", ""self"", ""own"", ""right, exactly, immediately""]",adj,720050
90,necesitar,to need,"[""to need""]",v,715243
91,casa,house,"[""house""]",n,706292
92,llevar,to wear,"[""to take, to carry, to take away, to carry away, to carry around, to bring, to bear, to lug"", ""to take, to take out"", ""to lead, to drive [+a ]"", ""to have spent time, to have been [+direct object , along with locational phrase or gerund]"", ""to have done, to have achieved a certain amount or extent of something"", ""to wear"", ""to have, include"", ""to give a lift, to give a ride""]",v,700105
93,tan,very,"[""so, as"", ""very"", ""such, such a""]",adv,686506
94,entonces,"then, next, thereupon, at that time, at that point","[""then, next, thereupon, at that time, at that point"", ""then, therefore, so, thus""]",adv,685920
95,encontrar,to meet,"[""to meet"", ""to find, encounter, come across"", ""to meet, bump into"", ""to think, consider, find"", ""to manage"", ""to be located"", ""to feel, be""]",v,675366
96,volver,to do again,"[""to return, to revert, to get back"", ""to come back, go back"", ""to do again"", ""to turn"", ""to become, to get"", ""to make, to drive""]",v,674877
97,llamar,to be called,"[""to summon, to call"", ""to refer to, to call"", ""to appeal"", ""to be called""]",v,654625
98,parecer,to believe,"[""to seem, to see fit"", ""to look like, to seem like"", ""to believe"", ""to think"", ""to strike"", ""to be like, to take after, to resemble"", ""to perceive"", ""appearance""]",v,651520
99,nuevo,new,"[""new"", ""brand new, all-new"", ""fresh""]",adj,644597
100,mejor,better,"[""better"", ""better off"", ""improved"", ""best"", ""top, highest, finest""]",adj,641745
101,primero,top,"[""former , first, first one"", ""one of the five bids in the card game of Primero, consisting of a combination of four cards in the hand"", ""first, first up"", ""top"", ""chief, fundamental"", ""prime, initial, front"", ""first""]",adj,638748
102,verdad,truth,"[""truth"", ""fact"", ""right""]",n,632793
103,hasta,even,"[""even"", ""until"", ""up to, to the point of, as much as""]",prep,626256
104,quién,if only,"[""who?, whom?"", ""if only""]",pron,622616
105,vida,life,"[""life"", ""lifestyle"", ""livelihood"", ""liveliness"", ""lifespan"", ""a term of endearment"", ""the game"", ""protagonist""]",n,617948
106,nunca,never,"[""never"", ""ever""]",adv,616936
107,tomar,to take,"[""to take"", ""to drink, have"", ""to make""]",v,611940
108,quedar,to agree on,"[""to be , to end up"", ""to be situated"", ""to be left"", ""to fit, to suit"", ""to turn out, e.g. well or poorly"", ""to agree on"", ""to agree to meet up with someone"", ""to die""]",v,610570
109,grande,grandee,"[""big, large"", ""great, grand"", ""aged, old"", ""adult, grown-up"", ""grandee""]",adj,609126
110,llegar,to manage,"[""to arrive, get"", ""to get up to, to go up to, to reach"", ""to be sufficient"", ""to manage""]",v,604643
111,hola,"hello, hi, hey","[""hello, hi, hey""]",interj,603263
112,chico,small,"[""small"", ""boy"", ""white-nosed coati"", ""raccoon""]",n,596787
113,poner,to put on,"[""to put, to put up, to place, to lay"", ""to set, to set up"", ""to put on"", ""to choose, to designate"", ""to make"", ""to make, to give"", ""to say, to read"", ""to name, to give a nickname""]",v,576596
114,oír,to hear,"[""to hear"", ""to listen to"", ""to heed""]",v,565979
115,noche,night,"[""night"", ""evening"", ""after dark, at night, nocturnally""]",n,564108
116,mí,me,"[""me""]",pron,562903
117,hijo,son,"[""son"", ""child""]",n,561314
118,dónde,from where? whence?,"[""where?"", ""from where? whence?"", ""where""]",adv,560489
119,ni,neither... nor,"[""neither... nor"", ""nor, or"", ""not even"", ""nu""]",conj,556255
120,salir,to step out,"[""to go out, to leave, to depart, to head out"", ""to go out, to come out"", ""to come out , to come off"", ""to exit, to leave, to walk out, to slip out"", ""to step out"", ""to get off, to leave"", ""to get off"", ""to get out""]",v,554971
121,favor,favor/favour,"[""favor/favour""]",n,553731
122,gustar,"to taste, to try","[""to taste, to try"", ""to experiment, to try"", ""to please, to be liked by"", ""to be pleasing romantically, to be found attractive by"", ""to like, to enjoy [+de]"", ""to want, to please"", ""to want, to desire""]",v,549302
123,seguir,to follow,"[""to follow"", ""to continue"", ""to further do something"", ""to follow, observe, to obey"", ""to remain, to stay, to still be"", ""to ensue"", ""to follow, to pursue, to track, to trace, to tail, to chase"", ""to proceed""]",v,541750
124,amigo,friend,"[""friend"", ""penis""]",n,538280
125,oh,oh,"[""oh""]",interj,536659
126,siempre,always,"[""always"", ""in spite of it, still...at least"", ""all the same, ultimately, in the end"", ""of course""]",adv,535920
127,hecho,made,"[""done, completed"", ""made"", ""fact"", ""act, deed"", ""act of hatching a plan or an idea"", ""misspelling of \""echo""]",n,514153
128,papá,dad,"[""dad"", ""parents""]",n,514018
129,Dios,God,"[""God""]",prop,509312
130,antes,soon,"[""earlier"", ""soon"", ""ahead , ahead of"", ""once, formerly"", ""first"", ""rather, sooner"", ""before""]",adv,506332
131,desde,since,"[""since"", ""from"", ""starting at""]",prep,502319
132,conocer,to meet,"[""to know , to be familiar with, to be acquainted with"", ""to meet"", ""to get to know, become acquainted"", ""to see, to visit, to explore"", ""to hear, to know"", ""to discover, to get to or come to know, to learn about, to find out"", ""to know, to have known"", ""to know oneself""]",v,500550
133,poco,little,"[""little, not much"", ""few, not many"", ""un-, not"", ""little"", ""a short time, a little while""]",adv,489944
134,ahí,that,"[""there: used to designate a place near the listener"", ""that""]",adv,475323
135,alguien,"someone, somebody","[""someone, somebody"", ""anyone, anybody""]",pron,470767
136,trabajo,work,"[""work, job"", ""work""]",n,466766
137,mujer,woman,"[""woman"", ""wife""]",n,453291
138,entre,between,"[""between"", ""among, amongst, from"", ""divided by"", ""as one of, as part of"", ""within, inside""]",prep,448607
139,después,next,"[""later, afterwards, afterward, post"", ""next"", ""after""]",adv,446877
140,parte,side,"[""part"", ""place"", ""side"", ""party"", ""behalf"", ""stint"", ""message"", ""traffic ticket""]",n,437180
141,mi,"apocopic form of ""mío"", my","[""apocopic form of \""mío\"", my"", ""mu"", ""mi""]",n,430920
142,acuerdo,agreement,"[""agreement"", ""compromise""]",n,429003
143,escuchar,to listen,"[""to listen to, to hear out"", ""to listen"", ""to hear""]",v,428549
144,momento,timing,"[""moment, instant"", ""timing"", ""momentum""]",n,417647
145,matar,to butcher,"[""to kill, slay"", ""to put out, extinguish"", ""to butcher"", ""to injure, damage"", ""to fatigue, exhaust, tire out"", ""to dull"", ""to round off"", ""to ruin""]",v,414847
146,donde,whence,"[""where, in what place"", ""whence"", ""because"", ""if"", ""by, near to"", ""round , chez""]",pron,409601
147,seguro,insurance,"[""secure"", ""certain"", ""security"", ""confident"", ""insurance"", ""safety"", ""for sure"", ""surely""]",adj,407757
148,mundo,world,"[""world, earth"", ""world, globe"", ""world"", ""hopscotch""]",n,407000
149,gente,people,"[""people""]",n,406482
150,niño,"child, boy","[""child, boy""]",n,396897
151,hora,hour,"[""hour"", ""time"", ""high time"", ""hour, period"", ""appointment""]",n,396694
152,buscar,to look up,"[""to seek, search for, look for, try to find, to scour"", ""to look up"", ""to fetch, get, pick up"", ""to bring on , to ask for""]",v,393889
153,problema,trouble,"[""problem, issue, challenge"", ""trouble"", ""question, dilemma, conundrum"", ""condition""]",n,393691
154,Estado,state,"[""state""]",prop,392772
155,lugar,place,"[""place""]",n,392477
156,nadie,no one,"[""no one""]",pron,389807
157,tal,such,"[""such""]",pron,389345
158,ayudar,to help,"[""to help""]",v,382646
159,perder,to lose,"[""to lose"", ""to miss, to miss out"", ""to waste"", ""to be losing"", ""to get lost""]",v,381545
160,ustedes,you,"[""you""]",pron,380802
161,persona,person,"[""person"", ""a socially distinguished person, a personality"", ""a wise or otherwise excellent person"", ""a character""]",n,377096
162,tipo,Minthostachys spp,"[""kind, type, sort, manner"", ""rate, interest rate"", ""composure, cool"", ""build"", ""guy, fellow, fella, dude, bloke , chap"", ""dolled up, smartened up, dressed for a special occasion"", ""Minthostachys spp""]",n,371275
163,claro,bright,"[""clear, easily understood"", ""light, pale"", ""bright"", ""clear, transparent"", ""certainly, naturally, of course"", ""sunny spell"", ""clearing"", ""bald patch""]",adj,371130
164,entender,to hear,"[""to understand, to fathom"", ""to hear"", ""to be queer"", ""to get on"", ""to get it on"", ""understanding""]",v,370617
165,menos,less,"[""less"", ""least"", ""less, fewer"", ""least, fewest"", ""minus"", ""except, besides"", ""minus sign""]",adv,367335
166,fuera,outside,"[""outside""]",adv,365550
167,acabar,to end up [+gerund ],"[""to finish"", ""to end up [+gerund ]"", ""to have just"", ""to exhaust, to use up [+con]"", ""to finish, to put an end to [+con]"", ""to run out of"", ""to come to an end, to be over, to be done, to be finished, to be it, to be no more, to be up"", ""to orgasm""]",v,363718
168,tratar,to treat,"[""to treat"", ""to address, to refer to as"", ""to deal with [+con]"", ""to try, to seek, to attempt, to strive, to endeavor [+de ]"", ""to be about, to concern [+de]""]",v,359367
169,tres,three,"[""three""]",num,349324
170,último,final,"[""final"", ""latest""]",adj,347390
171,trabajar,to work,"[""to work"", ""to work in, work on, to workshop"", ""to suffer""]",v,338840
172,morir,to die,"[""to die"", ""to be dying""]",v,334668
173,cada,each,"[""each""]",determiner,334232
174,dinero,money,"[""money"", ""wealth""]",n,332001
175,mañana,tomorrow,"[""tomorrow"", ""soon, shortly"", ""the morning"", ""the near future""]",n,330297
176,hermano,brother,"[""brother"", ""sibling"", ""bro, dude""]",n,329937
177,quien,who,"[""who"", ""whom"", ""whoever"", ""the one who""]",pron,325514
178,vivir,to live,"[""to live"", ""to make a living, to live on"", ""to live in, reside, inhabit"", ""to experience, to live through"", ""life""]",v,323037
179,valer,to be worth,"[""to be worth"", ""to be useful or valid"", ""to be well, healthy"", ""to be strong"", ""to make use of"", ""to take care of oneself, to manage""]",v,322524
180,sr.,,[],none,321637
181,allí,there,"[""there""]",adv,321484
182,hoy,today,"[""today""]",adv,318874
183,luego,then,"[""then"", ""later, later on"", ""soon"", ""therefore""]",adv,316333
184,mano,hand,"[""hand"", ""front foot"", ""round"", ""coat, lick"", ""skill, talent"", ""mano"", ""buddy, friend, bro, homie""]",n,311979
185,tanto,copy,"[""so much"", ""so many, as many, that many"", ""so much, long, hard, often, etc"", ""somewhat, to a certain extent"", ""copy"", ""poker chip"", ""point"", ""portion""]",adv,308198
186,caso,case,"[""case"", ""occasion""]",n,302205
187,nombre,name,"[""name"", ""noun"", ""wow!"", ""yikes, nope""]",n,300637
188,entrar,to break in,"[""to enter"", ""to break in"", ""to join"", ""to access"", ""to fit"", ""to step in"", ""to input"", ""to enter in""]",v,300434
189,forma,shape,"[""shape"", ""way"", ""basis""]",n,300421
190,empezar,to start [+a ],"[""to start, begin, to get started"", ""to start [+a ]"", ""to start [+por ]"", ""to start, to begin [+con ]"", ""to lead, to open [+con ]"", ""to be started""]",v,300150
191,conseguir,to bring about,"[""to achieve, succeed in, reach, accomplish, attain"", ""to get, obtain, acquire, find, gain, procure, extract, get to"", ""to ensure, secure"", ""to bring about"", ""to raise"", ""to enlist"", ""to score""]",v,296069
192,pedir,to ask for something,"[""to ask for something"", ""to request someone else to do something"", ""to order something"", ""to call, call in"", ""to plead""]",v,287572
193,intentar,"to try, to attempt","[""to try, to attempt""]",v,285993
194,ninguno,no,"[""no"", ""nobody"", ""none""]",determiner,278493
195,traer,to make,"[""to bring, to fetch"", ""to attract, draw, pull"", ""to bring about, cause, occasion"", ""to make"", ""to wear"", ""to bring forward, advance, adduce"", ""to make, compel, oblige"", ""to persuade""]",v,276614
196,pequeño,small,"[""small""]",adj,274683
197,importar,to import,"[""to matter, to be important [+a ]"", ""to import""]",v,271312
198,aún,"still, yet","[""still, yet""]",adv,269890
199,cuenta,operation,"[""count, tally"", ""operation"", ""bill"", ""tab"", ""account"", ""count"", ""report"", ""score""]",n,268204
200,razón,reason,"[""reason"", ""reasoning"", ""correctness, rectitude, a point"", ""ratio"", ""rate""]",n,267381
201,preguntar,to ask,"[""to ask"", ""to wonder, to ask oneself, to ponder""]",v,264878
202,terminar,to end up with [+con ],"[""to finish, to end, to terminate, to conclude"", ""to finish, to end, to terminate, to be over, to conclude"", ""to end up, to wind up, to turn out"", ""to break up, to be done, to be through, to be over [+con ]"", ""to end up with [+con ]"", ""to put an end to, to be done with, to destroy, to annihilate [+con ]""]",v,263102
203,idea,idea,"[""idea""]",n,262350
204,único,"unique, one-of-a-kind","[""only"", ""unique, one-of-a-kind"", ""solitary, alone, only one""]",adj,259593
205,mal,hard,"[""apocopic form of \""malo\"" bad"", ""amiss, awry, off, wrong"", ""badly, poorly, ill"", ""awry, amiss, wrong, wrongly"", ""hard"", ""evil, harm"", ""disease, illness, ailment"", ""worse""]",adv,255988
206,suponer,to pose,"[""to suppose, to surmise, to assume, to guess, to imagine, to figure, to say, to take it"", ""to presume, to expect"", ""to comprise, make up"", ""to pose"", ""to mean, to imply, to represent"", ""to involve, to entail"", ""to hypothesize""]",v,255610
207,muerto,dead,"[""dead"", ""exhausted"", ""unupdated, inactive, outdated"", ""a dead person, deceased"", ""dummy"", ""mooring block""]",adj,252619
208,durante,for,"[""during, in, over"", ""for""]",prep,252007
209,pasado,past,"[""past"", ""former"", ""last"", ""past, bygones""]",n,249247
210,recordar,to wake up,"[""to remember, to recollect"", ""to recall, remind of"", ""to wake up""]",v,246688
211,semana,week,"[""week""]",n,244812
212,cierto,true,"[""true"", ""a certain, a specific""]",adj,243428
213,contra,con,"[""against, versus"", ""con"", ""antidote"", ""counterpunch"", ""counterattack"", ""Contra"", ""opposite, facing""]",prep,241993
214,tarde,late,"[""late"", ""afternoon"", ""evening""]",adv,240846
215,segundo,second,"[""second"", ""assistant""]",adj,240571
216,cambiar,to modify,"[""to change, to shift, to switch, to alter"", ""to modify"", ""to switch, to switch up, to change, to trade, to swap"", ""to replace, to change out, to swap out"", ""to exchange, to trade in"", ""to turn around"", ""to swap, to trade, to switch"", ""to move""]",v,240117
217,familia,family,"[""family""]",n,239562
218,usar,to use,"[""to use"", ""to wear"", ""to consume"", ""to be used"", ""to be fashionable""]",v,238327
219,policía,police officer,"[""Civility, polity, public order, police, fineness, neatness, urbanity"", ""police, police department, police force, police service"", ""police officer""]",n,235370
220,comer,to eat,"[""to eat"", ""to have lunch"", ""to eat away, corrode"", ""to capture a piece"", ""to have sexual intercourse"", ""eating, food""]",v,234024
221,conmigo,with me,"[""with me"", ""with myself""]",adv,233970
222,sacar,to take out,"[""to put out, to get out"", ""to take out"", ""to pull out, to take out"", ""to get out, to take out"", ""to pull out, to get out"", ""to remove, to extract, to get out, to take out, to dig up or dig out"", ""to take"", ""to withdraw, to take out""]",v,233115
223,mientras,meanwhile,"[""meanwhile"", ""while, whilst, as"", ""as long as, so long as"", ""however much, however many, \""the..., the..."", ""while, whereas""]",conj,233013
224,mantener,to keep,"[""to keep"", ""to maintain, to support"", ""to sustain, to preserve, to retain, to uphold"", ""to maintain, continue, to keep up"", ""to stay, to remain"", ""to maintain, to keep, to stay, to remain"", ""to stand, to hold, to remain, to continue"", ""to stick to""]",v,232887
225,realmente,"really, actually, genuinely","[""really, actually, genuinely""]",adv,231221
226,serio,serious,"[""serious, earnest, sober, solemn"", ""serious, grave, deep"", ""serious"", ""straight"", ""staid""]",adj,231062
227,país,country,"[""country"", ""country, land""]",n,230598
228,contar,to be,"[""to count"", ""to tell"", ""to be"", ""to rely [+con ]"", ""to have available [+con]""]",v,229579
229,minuto,minute,"[""minute""]",n,229453
230,mierda,shit,"[""shit"", ""piece of shit"", ""drunkenness"", ""shit! fuck!""]",n,228417
231,olvidar,to forget,"[""to forget"", ""to leave behind, to forget"", ""to elude, to escape, to slip someone's mind""]",v,226422
232,propio,own,"[""own"", ""proper"", ""typical, characteristic""]",adj,225229
233,pues,"because, since","[""so, then"", ""because, since""]",conj,223512
234,e,letter,"[""letter"", ""and""]",conj,221413
235,aunque,"even if, irrespective of","[""though, although, even though, albeit"", ""even if, irrespective of""]",conj,220211
236,historia,history,"[""history"", ""story"", ""the letter H in the Spanish spelling alphabet""]",n,220065
237,amor,love,"[""love"", ""love affair""]",n,217849
238,lado,side,"[""side"", ""face""]",n,216880
239,junto,together,"[""together"", ""joined"", ""next to"", ""together, total"", ""next to, together with, alongside"", ""along with, together with, alongside"", ""in conjunction with""]",adj,215884
240,hacia,"toward, towards","[""toward, towards"", ""around, about""]",prep,215122
241,manera,way,"[""way""]",n,213311
242,cabeza,head,"[""head"", ""mind"", ""guy, dude, man""]",n,210928
243,punto,point,"[""point"", ""stitch"", ""bombshell"", ""punto, Spanish point"", ""period, end of story"", ""that's it!""]",n,210594
244,mayor,major,"[""comparative of \""grande\"": bigger"", ""comparative of \""viejo\"": older"", ""comparative of \""viejo\"": old"", ""of age"", ""major"", ""head"", ""superlative of \""grande\"": the biggest"", ""superlative of \""viejo\"": the oldest""]",adj,208599
245,todavía,"still, yet","[""still, yet"", ""even, still""]",adv,208423
246,cualquiera,a female prostitute,"[""anyone, whoever, whomever"", ""any, whatever, whichever"", ""a person of no importance"", ""a female prostitute""]",determiner,207510
247,casi,almost,"[""almost""]",adv,206579
248,contigo,with you,"[""with you"", ""with yourself""]",adv,206465
249,mes,month,"[""month""]",n,206318
250,ciudad,city,"[""city""]",n,205675
251,importante,"important, that cares, that matters","[""important, that cares, that matters""]",adj,205515
